Date,Fear Greed Index
2025-12-05,38.14
2025-12-08,31.17
2025-12-09,32.11
2025-12-10,40.03
2025-12-11,48.46
2025-12-12,42.17
2025-12-15,52.26
2025-12-16,45.49
2025-12-17,46.86
2025-12-18,43.80
2025-12-19,49.69
2025-12-22,57.29
2025-12-23,57.71
2025-12-24,54.31
2025-12-25,57.74
2025-12-26,52.54
2025-12-29,49.03
2025-12-30,48.43
2025-12-31,44.00
2026-01-01,44.83
2026-01-02,44.71
2026-01-05,47.94
2026-01-06,51.94
2026-01-07,43.69
2026-01-08,47.23
2026-01-09,53.54
2026-01-12,58.57
2026-01-13,59.51
2026-01-14,60.97
2026-01-15,62.17
2026-01-16,55.34
2026-01-20,46.37
2026-01-21,52.34
2026-01-22,52.77
2026-01-23,53.71
2026-01-26,55.40
